"Subscriber_ID","recency","frequency","monetary","r_score","f_score","m_score","total_score","segment"
SUB1366,752,1,13847.58,1,1,3,5,Hibernation
SUB3246,752,1,13141.73,1,1,3,5,Hibernation
SUB4128,751,1,657.69,1,1,1,3,Lost
SUB2381,750,1,16158.84,1,1,3,5,Hibernation
SUB2981,749,2,4657.75,1,2,2,5,Hibernation
SUB4334,749,1,239.09,1,1,1,3,Lost
SUB4277,746,1,2775.42,1,1,1,3,Lost
SUB2693,746,1,8728.14,1,1,3,5,Hibernation
SUB2708,746,1,5080.68,1,1,2,4,Hibernation
SUB2122,746,2,4909.05,1,2,2,5,Hibernation
SUB3846,742,1,1133.57,1,1,1,3,Lost
SUB1712,742,2,11594.71,1,2,3,6,At risk
SUB4978,740,2,2895.68,1,2,1,4,Hibernation
SUB3654,739,2,6240.41,1,2,2,5,Hibernation
SUB2579,739,1,7318.36,1,1,2,4,Hibernation
SUB4198,739,1,12469.55,1,1,3,5,Hibernation
SUB3798,738,1,7343.68,1,1,2,4,Hibernation
SUB1754,737,1,736.95,1,1,1,3,Lost
SUB4970,736,1,7503.75,1,1,2,4,Hibernation
SUB2419,735,1,1883.9,1,1,1,3,Lost
SUB4572,734,1,4184.14,1,1,2,4,Hibernation
SUB1930,733,2,3874.6,1,2,2,5,Hibernation
SUB3940,732,1,14313.55,1,1,3,5,Hibernation
SUB2880,732,1,5690.73,1,1,2,4,Hibernation
SUB3555,728,1,204.3,1,1,1,3,Lost
SUB1077,727,1,14409.6,1,1,3,5,Hibernation
SUB2838,726,1,4038.72,1,1,2,4,Hibernation
SUB2439,725,1,285.69,1,1,1,3,Lost
SUB4409,725,1,7072.9,1,1,2,4,Hibernation
SUB3727,725,1,2775.2,1,1,1,3,Lost
SUB4410,722,1,304.79,1,1,1,3,Lost
SUB1038,720,2,5319.85,1,2,2,5,Hibernation
SUB4376,715,1,652.46,1,1,1,3,Lost
SUB3909,715,1,594.22,1,1,1,3,Lost
SUB2831,714,3,12981.69,1,3,3,7,At risk
SUB3577,714,1,1949.63,1,1,1,3,Lost
SUB4973,713,1,473.29,1,1,1,3,Lost
SUB2484,711,3,10309.67,1,3,3,7,At risk
SUB2331,710,1,229.89,1,1,1,3,Lost
SUB1920,710,2,1725792.64,1,3,4,8,At risk
SUB2275,709,2,5542.61,1,2,2,5,Hibernation
SUB1329,708,1,4375.6,1,1,2,4,Hibernation
SUB3595,707,1,2174.64,1,1,1,3,Lost
SUB3976,704,1,2287.1,1,1,1,3,Lost
SUB1384,703,1,9860.7,1,1,3,5,Hibernation
SUB1482,702,1,14365.79,1,1,3,5,Hibernation
SUB4804,701,1,3880.37,1,1,2,4,Hibernation
SUB4996,701,1,8725.49,1,1,3,5,Hibernation
SUB3473,701,1,5545.74,1,1,2,4,Hibernation
SUB2301,700,1,426.2,1,1,1,3,Lost
SUB2987,700,1,51887.67,1,1,4,6,At risk
SUB3633,700,2,17369.45,1,3,4,8,At risk
SUB4715,699,1,4529.13,1,1,2,4,Hibernation
SUB4241,698,1,1326.0,1,1,1,3,Lost
SUB2812,698,1,4359.48,1,1,2,4,Hibernation
SUB4943,697,1,4214.88,1,1,2,4,Hibernation
SUB2645,696,1,2739.1,1,1,1,3,Lost
SUB1265,696,2,5435.49,1,2,2,5,Hibernation
SUB2947,692,1,2033.19,1,1,1,3,Lost
SUB4823,692,1,2850.97,1,1,1,3,Lost
SUB4111,692,1,638.01,1,1,1,3,Lost
SUB3140,690,1,3104.64,1,1,1,3,Lost
SUB2743,687,1,2283.74,1,1,1,3,Lost
SUB1641,686,2,2972.53,1,2,1,4,Hibernation
SUB2358,686,1,356492.57,1,1,4,6,At risk
SUB1880,685,1,3564.18,1,1,2,4,Hibernation
SUB1935,684,2,3567.29,1,2,2,5,Hibernation
SUB1683,684,2,8399.43,1,2,2,5,Hibernation
SUB2482,684,1,3131.18,1,1,1,3,Lost
SUB1821,684,1,181.03,1,1,1,3,Lost
SUB1995,683,3,3600.22,1,3,2,6,At risk
SUB3681,683,1,3693.1,1,1,2,4,Hibernation
SUB4220,683,1,105.52,1,1,1,3,Lost
SUB2423,682,2,5062.42,1,2,2,5,Hibernation
SUB2955,681,1,3580.31,1,1,2,4,Hibernation
SUB1934,680,1,240.25,1,1,1,3,Lost
SUB1518,679,1,46.05,1,1,1,3,Lost
SUB2718,678,1,387.78,1,1,1,3,Lost
SUB2396,678,1,132.97,1,1,1,3,Lost
SUB4156,678,2,9135.99,1,2,3,6,At risk
SUB2072,678,1,7349.81,1,1,2,4,Hibernation
SUB2690,678,1,286037.75,1,1,4,6,At risk
SUB1886,674,2,7021.17,1,2,2,5,Hibernation
SUB1425,674,2,953.33,1,2,1,4,Hibernation
SUB2928,673,1,12165.19,1,1,3,5,Hibernation
SUB2212,672,1,1758.87,1,1,1,3,Lost
SUB3854,672,1,230.04,1,1,1,3,Lost
SUB3937,671,4,18210.53,1,4,4,9,Loyal
SUB1740,670,1,3933.51,1,1,2,4,Hibernation
SUB4370,666,1,893.39,1,1,1,3,Lost
SUB2424,666,2,704.45,1,2,1,4,Hibernation
SUB3195,665,1,2102.94,1,1,1,3,Lost
SUB3604,665,1,355.65,1,1,1,3,Lost
SUB2870,663,1,2640.08,1,1,1,3,Lost
SUB2849,663,1,5206.41,1,1,2,4,Hibernation
SUB2108,663,2,1906689.65,1,3,4,8,At risk
SUB4675,663,1,144.23,1,1,1,3,Lost
SUB2635,662,1,13612.72,1,1,3,5,Hibernation
SUB4637,662,1,480.61,1,1,1,3,Lost
SUB1697,661,1,4312.8,1,1,2,4,Hibernation
SUB3898,660,1,84.44,1,1,1,3,Lost
SUB4030,659,2,2096.51,1,2,1,4,Hibernation
SUB2689,658,1,15096.7,1,1,3,5,Hibernation
SUB2447,657,2,5920.72,1,2,2,5,Hibernation
SUB1993,657,1,218.66,1,1,1,3,Lost
SUB3856,657,2,10082.85,1,2,3,6,At risk
SUB2164,656,1,990.22,1,1,1,3,Lost
SUB2639,653,1,5167.73,1,1,2,4,Hibernation
SUB1884,652,2,1161.45,1,2,1,4,Hibernation
SUB1875,650,2,7869.03,1,2,2,5,Hibernation
SUB2536,650,2,6085.17,1,2,2,5,Hibernation
SUB3656,649,3,992.73,1,3,1,5,Hibernation
SUB1789,648,1,1615.92,1,1,1,3,Lost
SUB2612,647,1,4809.91,1,1,2,4,Hibernation
SUB4313,646,1,11279.67,1,1,3,5,Hibernation
SUB2882,645,1,1313.66,1,1,1,3,Lost
SUB1541,645,1,5901.48,1,1,2,4,Hibernation
SUB4035,645,2,25923.12,1,3,4,8,At risk
SUB2669,645,1,2546.32,1,1,1,3,Lost
SUB4003,643,4,21990.86,1,4,4,9,Loyal
SUB4229,643,1,3432.45,1,1,2,4,Hibernation
SUB1508,643,2,1231.92,1,2,1,4,Hibernation
SUB2821,642,2,22350.77,1,3,4,8,At risk
SUB2218,642,1,7155.0,1,1,2,4,Hibernation
SUB2646,641,1,2191.7,1,1,1,3,Lost
SUB1178,641,3,13718.45,1,3,3,7,At risk
SUB4842,640,1,3316.44,1,1,1,3,Lost
SUB3688,639,2,16351.0,1,2,4,7,At risk
SUB1708,638,1,32.49,1,1,1,3,Lost
SUB3052,638,2,3789.19,1,2,2,5,Hibernation
SUB1544,638,1,3597.41,1,1,2,4,Hibernation
SUB1627,638,1,1113.46,1,1,1,3,Lost
SUB3649,637,3,24544.23,1,3,4,8,At risk
SUB1870,637,2,6789.26,1,2,2,5,Hibernation
SUB3658,636,1,450.24,1,1,1,3,Lost
SUB1671,635,1,1270.07,1,1,1,3,Lost
SUB1315,635,1,12927.84,1,1,3,5,Hibernation
SUB3380,635,2,2860.14,1,2,1,4,Hibernation
SUB4884,634,1,790.9,1,1,1,3,Lost
SUB3289,634,1,2340.66,1,1,1,3,Lost
SUB1460,633,2,9122.1,1,2,3,6,At risk
SUB3530,632,2,16167.22,1,2,3,6,At risk
SUB4745,631,2,5180.18,1,2,2,5,Hibernation
SUB2787,629,3,24767.71,1,3,4,8,At risk
SUB1042,627,2,11121.7,1,2,3,6,At risk
SUB2226,627,2,19700.34,1,3,4,8,At risk
SUB3051,626,3,112759.45,1,3,4,8,At risk
SUB3088,626,2,6603.17,1,2,2,5,Hibernation
SUB3459,625,1,14930.8,1,1,3,5,Hibernation
SUB4982,624,1,5323.29,1,1,2,4,Hibernation
SUB2079,624,2,2151.49,1,2,1,4,Hibernation
SUB4843,624,1,16.12,1,1,1,3,Lost
SUB1153,624,1,465.43,1,1,1,3,Lost
SUB4547,623,1,2243.86,1,1,1,3,Lost
SUB3880,623,1,141.3,1,1,1,3,Lost
SUB4871,622,2,18864.83,1,3,4,8,At risk
SUB4719,622,3,2091.36,1,3,1,5,Hibernation
SUB1484,621,1,8210.86,1,1,2,4,Hibernation
SUB1037,621,1,2380.29,1,1,1,3,Lost
SUB1229,621,1,1058.06,1,1,1,3,Lost
SUB2399,621,1,17527.5,1,1,4,6,At risk
SUB1007,620,1,4247.32,1,1,2,4,Hibernation
SUB1856,620,2,10034.3,1,2,3,6,At risk
SUB4922,619,2,126.75,1,1,1,3,Lost
SUB3948,619,1,264995.84,1,1,4,6,At risk
SUB2637,619,3,3033.07,1,3,1,5,Hibernation
SUB2535,618,3,9141.87,1,3,3,7,At risk
SUB2441,618,2,6316.55,1,2,2,5,Hibernation
SUB2984,616,2,13508.97,1,2,3,6,At risk
SUB4665,616,2,17505.05,1,3,4,8,At risk
SUB4071,615,1,1975.14,1,1,1,3,Lost
SUB4329,614,1,3396.35,1,1,1,3,Lost
SUB3568,614,2,8740.72,1,2,3,6,At risk
SUB4573,612,1,5515.4,1,1,2,4,Hibernation
SUB3715,612,2,26973.4,1,3,4,8,At risk
SUB2625,612,1,4532.01,1,1,2,4,Hibernation
SUB4280,611,1,90.07,1,1,1,3,Lost
SUB1846,611,2,2245.56,1,2,1,4,Hibernation
SUB1432,610,2,9005.22,1,2,3,6,At risk
SUB2451,610,2,9798.52,1,2,3,6,At risk
SUB2456,609,2,15073.57,1,2,3,6,At risk
SUB2305,609,1,79.02,1,1,1,3,Lost
SUB2356,609,2,4935.34,1,2,2,5,Hibernation
SUB4562,608,1,1295.84,1,1,1,3,Lost
SUB1745,608,3,7626.79,1,3,2,6,At risk
SUB2714,607,1,2145.04,1,1,1,3,Lost
SUB1287,607,1,740.52,1,1,1,3,Lost
SUB1714,607,1,2459.91,1,1,1,3,Lost
SUB3599,606,2,749027.62,1,3,4,8,At risk
SUB3364,604,2,899.73,1,2,1,4,Hibernation
SUB4768,603,1,6846.63,1,1,2,4,Hibernation
SUB1128,602,1,10946.24,1,1,3,5,Hibernation
SUB1326,601,1,4277.77,1,1,2,4,Hibernation
SUB4208,601,3,4294.38,1,3,2,6,At risk
SUB2912,600,2,23267.37,1,3,4,8,At risk
SUB2548,600,1,1927.83,1,1,1,3,Lost
SUB1272,600,1,837.33,1,1,1,3,Lost
SUB2643,598,2,1369.97,1,2,1,4,Hibernation
SUB4433,598,1,6821.57,1,1,2,4,Hibernation
SUB4668,597,1,3187.26,1,1,1,3,Lost
SUB1673,597,4,190857.43,1,4,4,9,Loyal
SUB2956,597,1,228.94,1,1,1,3,Lost
SUB1057,595,1,4618.68,1,1,2,4,Hibernation
SUB3827,595,3,2531.87,1,3,1,5,Hibernation
SUB4652,594,2,7273.35,1,2,2,5,Hibernation
SUB3322,594,1,3621.65,1,1,2,4,Hibernation
SUB4183,592,3,407664.63,1,3,4,8,At risk
SUB1590,592,1,5056.22,1,1,2,4,Hibernation
SUB1082,591,1,305692.62,1,1,4,6,At risk
SUB4855,591,3,14039.04,1,3,3,7,At risk
SUB4249,591,2,401.07,1,2,1,4,Hibernation
SUB3180,591,1,4.15,1,1,1,3,Lost
SUB1890,591,1,4200.97,1,1,2,4,Hibernation
SUB3120,591,1,864.69,1,1,1,3,Lost
SUB3357,591,1,6211.08,1,1,2,4,Hibernation
SUB1022,589,1,4611.53,1,1,2,4,Hibernation
SUB4770,589,1,412.89,1,1,1,3,Lost
SUB1749,589,1,1401.54,1,1,1,3,Lost
SUB2886,588,2,12122.46,1,2,3,6,At risk
SUB4878,588,1,20.41,1,1,1,3,Lost
SUB1106,587,1,3702.67,1,1,2,4,Hibernation
SUB2171,587,2,10298.57,1,2,3,6,At risk
SUB4840,585,4,12363.43,1,4,3,8,At risk
SUB3970,584,3,2376.47,1,3,1,5,Hibernation
SUB2084,583,2,15499.61,1,2,3,6,At risk
SUB4250,583,1,10630.58,1,1,3,5,Hibernation
SUB1008,581,2,4930.86,1,2,2,5,Hibernation
SUB1144,581,1,1804.74,1,1,1,3,Lost
SUB2146,578,1,351.87,1,1,1,3,Lost
SUB4849,577,1,4478.88,1,1,2,4,Hibernation
SUB4393,577,1,8470.0,1,1,2,4,Hibernation
SUB3224,577,2,29768.91,1,3,4,8,At risk
SUB2169,577,1,2918.74,1,1,1,3,Lost
SUB2750,577,2,8806.72,1,2,3,6,At risk
SUB2201,577,2,9374.76,1,2,3,6,At risk
SUB3697,576,2,11205.28,1,2,3,6,At risk
SUB3311,576,2,15315.18,1,2,3,6,At risk
SUB1023,576,3,7827.67,1,3,2,6,At risk
SUB3930,575,2,4015.9,1,2,2,5,Hibernation
SUB2778,575,2,14942.09,1,2,3,6,At risk
SUB4523,575,2,9620.37,1,2,3,6,At risk
SUB1182,575,1,13202.0,1,1,3,5,Hibernation
SUB2293,574,1,2072.8,1,1,1,3,Lost
SUB2335,573,1,2638.88,1,1,1,3,Lost
SUB3733,573,1,154.05,1,1,1,3,Lost
SUB3160,573,1,5082.83,1,1,2,4,Hibernation
SUB3342,573,3,13256.58,1,3,3,7,At risk
SUB4240,573,2,14293.68,1,2,3,6,At risk
SUB2444,572,1,1589.67,1,1,1,3,Lost
SUB4034,571,3,10907.59,1,4,3,8,At risk
SUB4202,570,2,7091.14,1,2,2,5,Hibernation
SUB3179,569,1,13043.7,1,1,3,5,Hibernation
SUB4793,568,1,98.2,1,1,1,3,Lost
SUB1203,567,1,100.46,1,1,1,3,Lost
SUB3116,567,2,8051.88,1,2,2,5,Hibernation
SUB3495,567,2,17959.09,1,3,4,8,At risk
SUB4632,567,1,75.47,1,1,1,3,Lost
SUB1473,566,2,3674.79,1,2,2,5,Hibernation
SUB4112,566,1,423602.43,1,1,4,6,At risk
SUB4712,565,1,151.16,1,1,1,3,Lost
SUB3169,565,2,17325.8,1,3,4,8,At risk
SUB1702,565,1,94.86,1,1,1,3,Lost
SUB2936,564,2,2407.89,1,2,1,4,Hibernation
SUB1663,563,1,9735.12,1,1,3,5,Hibernation
SUB2754,562,1,646773.04,1,1,4,6,At risk
SUB3557,562,1,167.99,1,1,1,3,Lost
SUB4149,561,1,4499.78,1,1,2,4,Hibernation
SUB2388,561,2,6686.8,1,2,2,5,Hibernation
SUB1804,560,4,7316.6,1,4,2,7,At risk
SUB4633,559,2,914794.46,1,3,4,8,At risk
SUB4116,559,1,4729.2,1,1,2,4,Hibernation
SUB1081,557,2,1848.47,1,2,1,4,Hibernation
SUB2046,556,1,3413.73,1,1,2,4,Hibernation
SUB3590,555,1,5723.05,1,1,2,4,Hibernation
SUB2463,555,1,353.13,1,1,1,3,Lost
SUB2254,555,2,830.04,1,2,1,4,Hibernation
SUB1585,554,2,4575.74,1,2,2,5,Hibernation
SUB1608,554,1,167.47,1,1,1,3,Lost
SUB2428,554,1,8404.31,1,1,2,4,Hibernation
SUB4912,552,1,167.44,1,1,1,3,Lost
SUB2189,552,2,2079.5,1,2,1,4,Hibernation
SUB1100,552,1,8704.85,1,1,3,5,Hibernation
SUB1068,551,1,607.67,1,1,1,3,Lost
SUB4530,551,1,5215.12,1,1,2,4,Hibernation
SUB1850,550,1,26.47,1,1,1,3,Lost
SUB1700,550,2,8223.35,1,2,2,5,Hibernation
SUB4403,549,2,9776.58,1,2,3,6,At risk
SUB2296,549,1,6324.84,1,1,2,4,Hibernation
SUB3862,549,2,34726413.9,1,3,4,8,At risk
SUB3204,548,2,13603.36,1,2,3,6,At risk
SUB3905,547,2,14020.04,1,2,3,6,At risk
SUB4168,547,2,2429.9,1,2,1,4,Hibernation
SUB4803,546,2,3717.19,1,2,2,5,Hibernation
SUB3412,546,2,5311.83,1,2,2,5,Hibernation
SUB4478,545,2,8934.47,1,2,3,6,At risk
SUB2842,545,1,4153.91,1,1,2,4,Hibernation
SUB2742,544,1,1738.31,1,1,1,3,Lost
SUB3760,544,3,20888.06,1,3,4,8,At risk
SUB2025,543,2,6264.5,1,2,2,5,Hibernation
SUB1274,542,3,16631.45,1,4,4,9,Loyal
SUB2262,541,2,704.45,1,2,1,4,Hibernation
SUB1348,540,2,6041.88,1,2,2,5,Hibernation
SUB1466,538,2,1089.25,1,2,1,4,Hibernation
SUB3421,538,1,3405.6,1,1,2,4,Hibernation
SUB1402,538,1,2687.71,1,1,1,3,Lost
SUB4296,537,2,5311.27,1,2,2,5,Hibernation
SUB3991,537,2,5580.25,1,2,2,5,Hibernation
SUB3556,537,2,8506.7,1,2,3,6,At risk
SUB2631,537,1,313.41,1,1,1,3,Lost
SUB1769,536,3,83225.48,1,3,4,8,At risk
SUB1966,535,2,9067.61,1,2,3,6,At risk
SUB4510,532,1,3811.63,1,1,2,4,Hibernation
SUB2249,532,1,1729.0,1,1,1,3,Lost
SUB3704,531,1,17087.19,1,1,4,6,At risk
SUB1430,531,1,35.55,1,1,1,3,Lost
SUB3571,531,3,6239.86,1,3,2,6,At risk
SUB2538,529,3,6414.93,1,3,2,6,At risk
SUB2591,529,1,3858.01,1,1,2,4,Hibernation
SUB1864,529,1,607.08,1,1,1,3,Lost
SUB1538,528,2,6105.89,1,2,2,5,Hibernation
SUB4090,528,2,643.14,1,2,1,4,Hibernation
SUB4432,528,1,3156.43,1,1,1,3,Lost
SUB2312,528,3,5633.13,1,3,2,6,At risk
SUB4557,527,3,22800.34,1,3,4,8,At risk
SUB3657,526,2,1598.38,1,2,1,4,Hibernation
SUB2260,526,3,2841.48,1,3,1,5,Hibernation
SUB2256,524,2,14619.23,1,2,3,6,At risk
SUB3326,524,2,4286.85,1,2,2,5,Hibernation
SUB3872,524,2,4516.9,1,2,2,5,Hibernation
SUB3666,522,2,4224.25,1,2,2,5,Hibernation
SUB2461,522,3,16924.73,1,4,4,9,Loyal
SUB4892,522,1,289.88,1,1,1,3,Lost
SUB1166,522,1,2632.35,1,1,1,3,Lost
SUB2269,521,2,8874.72,1,2,3,6,At risk
SUB1490,521,3,9104.8,1,3,3,7,At risk
SUB4332,519,3,17118.07,1,4,4,9,Loyal
SUB2067,519,1,3799.57,1,1,2,4,Hibernation
SUB1709,519,3,4428.19,1,3,2,6,At risk
SUB2793,518,1,331.4,1,1,1,3,Lost
SUB1528,518,1,221.38,1,1,1,3,Lost
SUB3876,517,2,24540.9,1,3,4,8,At risk
SUB4460,516,4,1504.38,1,4,1,6,At risk
SUB3964,515,2,1008.32,1,2,1,4,Hibernation
SUB4037,515,2,10515.6,1,2,3,6,At risk
SUB3227,515,1,432.45,1,1,1,3,Lost
SUB4493,515,2,9174.33,1,2,3,6,At risk
SUB3814,515,1,1479.23,1,1,1,3,Lost
SUB2826,514,1,3950.93,1,1,2,4,Hibernation
SUB3304,513,4,11181.56,1,4,3,8,At risk
SUB3414,513,4,8219.89,1,4,2,7,At risk
SUB4618,512,2,15814.64,1,2,3,6,At risk
SUB2710,511,3,6843.05,1,3,2,6,At risk
SUB3855,510,3,5651.82,1,3,2,6,At risk
SUB2051,510,3,22201.96,1,3,4,8,At risk
SUB1026,510,2,15126.7,1,2,3,6,At risk
SUB4995,510,1,276.76,1,1,1,3,Lost
SUB2018,510,2,6494.59,1,2,2,5,Hibernation
SUB3314,508,1,390.67,1,1,1,3,Lost
SUB4469,508,1,285.15,1,1,1,3,Lost
SUB1778,507,3,13306.73,1,3,3,7,At risk
SUB2139,507,1,935.46,1,1,1,3,Lost
SUB3104,505,1,3207.32,1,1,1,3,Lost
SUB4638,505,3,10677.14,1,3,3,7,At risk
SUB2135,505,2,1306.08,1,2,1,4,Hibernation
SUB3891,504,2,10504.83,1,2,3,6,At risk
SUB2020,504,3,24645.74,1,3,4,8,At risk
SUB2088,504,2,6134.68,1,2,2,5,Hibernation
SUB4985,504,2,19414.11,1,3,4,8,At risk
SUB4350,504,1,2538.25,1,1,1,3,Lost
SUB4105,503,1,2741.2,1,1,1,3,Lost
SUB4363,503,1,3007.85,1,1,1,3,Lost
SUB4661,500,1,860.62,1,1,1,3,Lost
SUB1442,500,1,1189.22,1,1,1,3,Lost
SUB1020,500,2,8699.87,1,2,3,6,At risk
SUB1604,500,1,2405.8,1,1,1,3,Lost
SUB4630,500,2,9444.57,1,2,3,6,At risk
SUB2728,499,4,17632.52,1,4,4,9,Loyal
SUB1213,499,2,4422.64,1,2,2,5,Hibernation
SUB2995,499,3,14050.8,1,3,3,7,At risk
SUB4348,498,2,2269.62,1,2,1,4,Hibernation
SUB4629,497,2,3949.73,1,2,2,5,Hibernation
SUB2739,496,2,768.27,1,2,1,4,Hibernation
SUB1141,496,4,17682.87,1,4,4,9,Loyal
SUB4148,496,1,3948.48,1,1,2,4,Hibernation
SUB2414,495,1,82.59,1,1,1,3,Lost
SUB2040,495,1,2148.86,1,1,1,3,Lost
SUB4505,494,2,6057.0,1,2,2,5,Hibernation
SUB1296,493,2,786.93,1,2,1,4,Hibernation
SUB4923,493,2,2091.23,1,2,1,4,Hibernation
SUB1090,492,1,12000.2,1,1,3,5,Hibernation
SUB2696,492,4,204521.4,1,4,4,9,Loyal
SUB2364,491,2,1955.09,1,2,1,4,Hibernation
SUB1406,491,3,14716.28,1,3,3,7,At risk
SUB1497,491,5,7132.73,1,4,2,7,At risk
SUB2978,490,1,194.87,1,1,1,3,Lost
SUB1614,489,2,9011.05,1,2,3,6,At risk
SUB2655,489,2,689.78,1,2,1,4,Hibernation
SUB4097,488,2,848203.83,1,3,4,8,At risk
SUB4924,488,3,14790.89,1,3,3,7,At risk
SUB4705,488,1,83.65,1,1,1,3,Lost
SUB4522,488,1,3068.55,1,1,1,3,Lost
SUB3324,487,2,3661.38,1,2,2,5,Hibernation
SUB1849,487,2,841.02,1,2,1,4,Hibernation
