"Txn_ID","Subscriber_ID","Activation_Date","City","Province","Package_Type","Package_Name","Usage_GB","Package_Price","Discount_Pct","Recharge_Amount","Network_Cost","Channel","Payment_Method","Tenure_Days","NPS_Score","Target_ARPU","Profit","Segmen_NPS","ARPU_Gap","ARPU_Category"
TEL-000045,SUB3333,2025-03-16 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_63,8,93.94,0.5,375.76,392.62,Online,Cash,99,32,198498,-16.860000000000014,Buruk,-198122.24,N
TEL-000046,SUB1420,2024-02-09 00:00:00.000,Surabaya,Jawa Timur,Data,Package_60,2,293.09,0.05,556.87,449.4,Retail,Ewallet,64,106,109947,107.47000000000003,Bagus Sekali,-109390.13,N
TEL-000047,SUB2687,2025-02-17 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_53,1,258.71,0.5,129.35,117.74,Retail,Transfer,43,-1,28785,11.61,Buruk,-28655.65,N
TEL-000048,SUB1971,2024-07-06 00:00:00.000,Bandung,Jawa Barat,Combo,Package_79,12,692.49,0.05,7894.39,6105.19,Online,Ewallet,113,14,95056,1789.2000000000007,Buruk,-87161.61,N
TEL-000049,SUB1712,2023-12-21 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_36,16,635.86,0.0,10173.76,6615.93,Online,Cash,57,70,47477,3557.83,Bagus,-37303.24,N
TEL-000050,SUB3649,2023-09-20 00:00:00.000,Yogyakarta,DIY,Data,Package_10,17,955.74,0.75,4061.89,5052.03,Online,Ewallet,57,103,199632,-990.1399999999999,Bagus Sekali,-195570.11,N
TEL-000051,SUB2965,2024-05-27 00:00:00.000,Yogyakarta,DIY,Voice,Package_25,1,883.39,0.95,44.17,32.76,Online,Transfer,66,56,170425,11.410000000000004,Bagus,-170380.83,N
TEL-000052,SUB3296,2024-12-16 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_98,7,104.99,0.1,661.44,452.47,Online,Ewallet,113,63,110763,208.97000000000003,Bagus,-110101.56,N
TEL-000053,SUB2477,2024-08-24 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_60,9,936.39,0.1,7584.76,8648.83,Retail,Ewallet,36,11,167225,-1064.0699999999997,Buruk,-159640.24,N
TEL-000054,SUB2875,2025-04-19 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_92,2,355.97,0.75,177.99,156.07,Online,Cash,12,30,198480,21.920000000000016,Buruk,-198302.01,N
TEL-000055,SUB2533,2025-03-10 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_92,2,123.55,0.5,123.55,88.42,Retail,Transfer,73,72,161949,35.129999999999995,Bagus,-161825.45,N
TEL-000056,SUB3670,2025-11-09 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_62,10,803.57,0.5,4017.85,4386.78,Online,Cash,17,-16,136717,-368.92999999999984,Buruk,-132699.15,N
TEL-000057,SUB4192,2025-11-01 00:00:00.000,Yogyakarta,DIY,Data,Package_89,1,891.55,0.05,846.97,1005.98,Online,Ewallet,119,19,140698,-159.01,Buruk,-139851.03,N
TEL-000058,SUB2127,2025-03-06 00:00:00.000,Yogyakarta,DIY,Voice,Package_21,1,743.94,0.95,37.2,48.25,Retail,Ewallet,14,61,140585,-11.049999999999997,Bagus,-140547.8,N
TEL-000059,SUB2657,2024-07-02 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_1,13,651.14,0.0,20327.88,24114.72,Online,Transfer,67,29,120933,-3786.84,Buruk,-100605.12,N
TEL-000060,SUB3117,2024-05-08 00:00:00.000,Yogyakarta,DIY,Data,Package_67,1,17.9,0.75,4.47,4.84,Dealer,Transfer,35,109,71408,-0.3700000000000001,Bagus Sekali,-71403.53,N
TEL-000061,SUB1814,2025-04-20 00:00:00.000,Surabaya,Jawa Timur,Data,Package_63,11,456.4,0.1,4518.36,3892.69,Online,Ewallet,111,-2,26865,625.6699999999996,Buruk,-22346.64,N
TEL-000062,SUB3327,2025-09-14 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_4,4,645.22,0.15,2193.75,1136.08,Dealer,Ewallet,4,59,161036,1057.67,Bagus,-158842.25,N
TEL-000063,SUB4516,2025-06-26 00:00:00.000,Yogyakarta,DIY,Voice,Package_73,16,994.38,0.75,3977.52,4401.81,Online,Transfer,84,60,145548,-424.2900000000004,Bagus,-141570.48,N
TEL-000064,SUB3430,2025-09-09 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_16,15,755.92,0.0,11338.8,6127.82,Dealer,Ewallet,93,50,54381,5210.98,Bagus,-43042.2,N
TEL-000065,SUB1000,2023-10-14 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_3,8,587.94,0.2,3762.82,2797.8,Online,Ewallet,95,7,29999,965.02,Buruk,-26236.18,N
TEL-000066,SUB1118,2025-01-10 00:00:00.000,Bandung,Jawa Barat,Data,Package_80,7,120.29,0.05,799.93,473.48,Online,Transfer,105,19,52407,326.44999999999993,Buruk,-51607.07,N
TEL-000067,SUB2018,2024-05-29 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_71,17,95.79,0.0,1628.43,2041.98,Dealer,Ewallet,57,112,154906,-413.54999999999995,Bagus Sekali,-153277.57,N
TEL-000068,SUB2387,2023-09-30 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_89,17,406.13,0.05,6559.0,7220.89,Online,Cash,3,-4,128735,-661.8900000000003,Buruk,-122176.0,N
TEL-000069,SUB3362,2024-07-08 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_99,18,126.38,0.15,1933.61,1342.3,Dealer,Transfer,13,100,148903,591.31,Bagus Sekali,-146969.39,N
TEL-000070,SUB1390,2025-01-15 00:00:00.000,Bandung,Jawa Barat,Voice,Package_36,16,894.25,0.2,11446.4,8342.5,Dealer,Cash,89,85,143813,3103.8999999999996,Bagus Sekali,-132366.6,N
TEL-000071,SUB1017,2024-12-23 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_86,7,472.52,0.1,2976.88,2965.92,Dealer,Cash,49,87,161836,10.960000000000036,Bagus Sekali,-158859.12,N
TEL-000072,SUB2515,2024-11-19 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_44,9,978.08,0.15,7482.31,5763.19,Retail,Transfer,118,67,148733,1719.1200000000008,Bagus,-141250.69,N
TEL-000073,Anon,2023-10-27 00:00:00.000,Bandung,Jawa Barat,Combo,Package_45,7,896.96,0.75,1569.68,1933.48,Online,Cash,109,91,27461,-363.79999999999995,Bagus Sekali,-25891.32,N
TEL-000074,SUB4387,2024-06-11 00:00:00.000,Bandung,Jawa Barat,Data,Package_36,4,593.83,0.75,593.83,679.7,Online,Transfer,37,45,50077,-85.87,Bagus,-49483.17,N
TEL-000075,SUB2727,2025-11-08 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_8,7,158.26,0.2,886.26,679.33,Dealer,Ewallet,62,106,112335,206.92999999999995,Bagus Sekali,-111448.74,N
TEL-000076,SUB4145,2024-09-26 00:00:00.000,Yogyakarta,DIY,Combo,Package_7,14,261.07,0.95,182.75,160.52,Retail,Transfer,116,10,132707,22.22999999999999,Buruk,-132524.25,N
TEL-000077,SUB3975,2025-05-22 00:00:00.000,Bandung,Jawa Barat,Voice,Package_65,16,958.72,0.0,15339.52,10867.25,Dealer,Cash,81,72,168774,4472.27,Bagus,-153434.48,N
TEL-000078,SUB4384,2025-12-09 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_13,13,333.3,0.05,4116.26,5261.54,Online,Cash,33,24,145046,-1145.2799999999997,Buruk,-140929.74,N
TEL-000079,SUB3248,2025-06-17 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_60,4,945.73,0.75,945.73,541.49,Online,Ewallet,103,28,119825,404.24,Buruk,-118879.27,N
TEL-000080,SUB1407,2025-05-26 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_51,3,266.02,0.05,758.16,387.24,Online,Cash,77,18,110376,370.91999999999996,Buruk,-109617.84,N
TEL-000081,SUB4481,2023-10-31 00:00:00.000,Yogyakarta,DIY,Combo,Package_75,20,867.63,0.5,8676.3,4455.55,Dealer,Ewallet,86,4,159345,4220.749999999999,Buruk,-150668.7,N
TEL-000082,SUB4371,2024-11-22 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_73,8,798.09,0.95,319.24,413.94,Retail,Transfer,115,53,20219,-94.69999999999999,Bagus,-19899.76,N
TEL-000083,SUB2392,2025-05-23 00:00:00.000,Bandung,Jawa Barat,Voice,Package_55,11,930.73,0.1,9214.23,8724.68,Dealer,Ewallet,89,64,158247,489.5499999999993,Bagus,-149032.77,N
TEL-000084,SUB3960,2024-02-15 00:00:00.000,Yogyakarta,DIY,Voice,Package_68,8,837.9,0.2,5362.56,5540.79,Retail,Transfer,60,37,116469,-178.22999999999956,Buruk,-111106.44,N
TEL-000085,SUB4377,2025-01-10 00:00:00.000,Bandung,Jawa Barat,Voice,Package_87,2,824.46,0.5,824.46,712.63,Dealer,Transfer,76,97,121407,111.83000000000004,Bagus Sekali,-120582.54,N
TEL-000053,Anon,2025-10-28 00:00:00.000,Yogyakarta,DIY,Data,Package_71,16,316.69,0.75,1266.76,1483.92,Dealer,Transfer,31,79,143665,-217.16000000000008,Bagus,-142398.24,N
TEL-000087,SUB1740,2024-03-02 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_67,14,561.93,0.5,3933.51,2278.14,Dealer,Ewallet,90,65,54308,1655.3700000000003,Bagus,-50374.49,N
TEL-000088,Anon,2025-01-24 00:00:00.000,Yogyakarta,DIY,Combo,Package_71,5,653.9,0.0,3269.5,2394.75,Dealer,Ewallet,65,66,139433,874.75,Bagus,-136163.5,N
TEL-000089,Anon,2024-06-08 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_54,4,387.43,0.75,387.43,462.1,Dealer,Ewallet,120,75,21824,-74.67000000000002,Bagus,-21436.57,N
TEL-000090,SUB1814,2025-02-17 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_65,20,327.49,0.1,5894.82,4521.27,Online,Transfer,82,114,115111,1373.5499999999993,Bagus Sekali,-109216.18,N
TEL-000091,Anon,2024-01-06 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_53,4631,493.89,0.2,1829763.67,1952565.33,Dealer,Transfer,67,56,191242,-122801.66000000015,Bagus,1638521.67,Y
TEL-000092,SUB1497,2023-09-17 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_1,13,434.09,0.2,4514.54,3145.16,Online,Transfer,44,80,106604,1369.38,Bagus,-102089.46,N
TEL-000093,SUB2820,2024-11-01 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_94,4,671.66,0.95,134.33,102.84,Online,Cash,55,51,119613,31.49000000000001,Bagus,-119478.67,N
TEL-000094,SUB4980,2024-07-01 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_94,2,781.69,0.5,781.69,884.46,Dealer,Ewallet,61,114,87144,-102.76999999999998,Bagus Sekali,-86362.31,N
TEL-000095,SUB2971,2025-08-24 00:00:00.000,Surabaya,Jawa Timur,Data,Package_43,12,926.69,0.2,8896.22,11290.53,Dealer,Cash,46,80,36196,-2394.3100000000013,Bagus,-27299.78,N
TEL-000096,SUB2480,2023-10-29 00:00:00.000,Yogyakarta,DIY,Voice,Package_55,14,301.45,0.15,3587.26,3862.24,Dealer,Transfer,113,24,38176,-274.97999999999956,Buruk,-34588.74,N
TEL-000097,SUB1293,2024-06-19 00:00:00.000,Surabaya,Jawa Timur,Data,Package_39,16,912.2,0.15,12405.92,10044.16,Dealer,Transfer,3,30,144181,2361.76,Buruk,-131775.08,N
TEL-000098,SUB2936,2024-06-16 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_51,4,982.53,0.5,1965.06,2127.79,Dealer,Cash,93,77,41788,-162.73000000000002,Bagus,-39822.94,N
TEL-000099,SUB1207,2024-02-08 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_38,13,614.25,0.1,7186.73,6333.8,Retail,Ewallet,65,73,135326,852.9299999999994,Bagus,-128139.27,N
TEL-000100,SUB3717,2025-04-08 00:00:00.000,Yogyakarta,DIY,Combo,Package_41,17,556.04,0.0,9452.68,6723.94,Dealer,Ewallet,96,81,90181,2728.7400000000007,Bagus Sekali,-80728.32,N
TEL-000101,SUB2576,2024-12-03 00:00:00.000,Yogyakarta,DIY,Data,Package_63,16,567.96,0.2,7269.89,7306.86,Dealer,Ewallet,54,-6,140206,-36.969999999999345,Buruk,-132936.11,N
TEL-000102,Anon,2025-04-21 00:00:00.000,Bandung,Jawa Barat,Combo,Package_2,14,702.86,0.5,4920.02,3068.05,Dealer,Ewallet,88,41,141673,1851.9700000000003,Bagus,-136752.98,N
TEL-000103,SUB3573,2025-09-04 00:00:00.000,Bandung,Jawa Barat,Data,Package_63,10,924.35,0.75,2310.88,1501.88,Retail,Cash,115,-8,183185,809.0,Buruk,-180874.12,N
TEL-000104,SUB1949,2025-04-21 00:00:00.000,Yogyakarta,DIY,Combo,Package_25,11,254.05,0.2,2235.64,2177.68,Dealer,Cash,20,110,84424,57.960000000000036,Bagus Sekali,-82188.36,N
TEL-000105,SUB4872,2025-03-19 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_25,16,889.76,0.5,7118.08,4075.79,Dealer,Ewallet,118,25,64807,3042.29,Buruk,-57688.92,N
TEL-000106,Anon,2025-07-19 00:00:00.000,Yogyakarta,DIY,Combo,Package_45,9,524.67,0.5,2609.29,3232.61,Online,Ewallet,68,-16,89975,-623.3200000000002,Buruk,-87365.71,N
TEL-000107,SUB3414,2024-04-07 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_43,13,458.42,0.0,5959.46,6063.55,Dealer,Cash,117,79,79350,-104.09000000000015,Bagus,-73390.54,N
TEL-000108,SUB1454,2024-04-24 00:00:00.000,Yogyakarta,DIY,Voice,Package_86,17,61.44,0.95,52.22,56.13,Retail,Transfer,15,-20,186034,-3.9100000000000037,Buruk,-185981.78,N
TEL-000109,SUB1874,2024-02-18 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_68,14,582.54,0.0,8155.56,8579.19,Dealer,Transfer,51,5,89702,-423.6300000000001,Buruk,-81546.44,N
TEL-000110,SUB3336,2025-01-18 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_7,4,502.34,0.0,2009.36,1916.96,Dealer,Cash,28,91,65169,92.39999999999986,Bagus Sekali,-63159.64,N
TEL-000111,SUB1686,2024-06-29 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_50,18,136.51,0.5,1228.59,1214.69,Online,Cash,90,30,90911,13.899999999999864,Buruk,-89682.41,N
TEL-000112,Anon,2025-01-14 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_80,15,302.1,0.75,1132.88,1048.44,Dealer,Ewallet,36,27,39678,84.44000000000005,Buruk,-38545.12,N
TEL-000113,SUB3747,2025-02-27 00:00:00.000,Bandung,Jawa Barat,Voice,Package_79,10,55.29,0.5,635.58,700.04,Dealer,Cash,52,60,186457,-64.45999999999992,Bagus,-185821.42,N
TEL-000114,SUB2899,2025-04-24 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_89,18,627.01,0.5,5643.09,5418.11,Dealer,Transfer,31,11,38061,224.98000000000047,Buruk,-32417.91,N
TEL-001141,Anon,2025-03-25 00:00:00.000,Yogyakarta,DIY,Combo,Package_42,11,136.84,0.5,752.62,849.58,Online,Transfer,81,-11,86772,-96.96000000000004,Buruk,-86019.38,N
TEL-000115,Anon,2025-04-25 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_63,18,764.22,0.0,13755.96,7088.75,Dealer,Cash,51,83,66301,6667.209999999999,Bagus Sekali,-52545.04,N
TEL-000116,SUB2294,2024-06-28 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_21,17,169.51,0.95,144.08,141.46,Online,Ewallet,43,-17,153446,2.6200000000000045,Buruk,-153301.92,N
TEL-000117,SUB3413,2024-06-11 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_40,2,896.71,0.1,1420.99,732.72,Retail,Ewallet,8,-3,48544,688.27,Buruk,-47123.01,N
TEL-000118,SUB3816,2023-12-17 00:00:00.000,Yogyakarta,DIY,Voice,Package_18,13,20.47,0.15,226.19,135.3,Dealer,Cash,115,86,129204,90.88999999999999,Bagus Sekali,-128977.81,N
TEL-000119,SUB4689,2025-11-19 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_16,8,21.3,0.75,42.6,33.79,Dealer,Transfer,8,99,40286,8.810000000000002,Bagus Sekali,-40243.4,N
TEL-000120,SUB4436,2024-09-24 00:00:00.000,Bandung,Jawa Barat,Combo,Package_58,15,752.09,0.05,10717.28,11381.02,Retail,Transfer,3,83,90676,-663.7399999999998,Bagus Sekali,-79958.72,N
TEL-000121,SUB2080,2025-05-28 00:00:00.000,Yogyakarta,DIY,Voice,Package_8,1,382.71,0.0,382.71,382.62,Retail,Transfer,64,112,128634,0.08999999999997499,Bagus Sekali,-128251.29,N
TEL-000122,SUB4485,2024-09-15 00:00:00.000,Yogyakarta,DIY,Voice,Package_89,1,806.22,0.1,725.6,736.77,Retail,Ewallet,116,41,175009,-11.169999999999959,Bagus,-174283.4,N
TEL-000123,SUB4774,2025-04-07 00:00:00.000,Yogyakarta,DIY,Combo,Package_57,15,399.36,0.95,299.52,266.92,Dealer,Ewallet,19,9,135456,32.599999999999966,Buruk,-135156.48,N
TEL-000124,SUB4949,2025-04-05 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_96,5,195.35,0.5,488.38,440.03,Retail,Cash,87,47,133099,48.35000000000002,Bagus,-132610.62,N
TEL-000125,Anon,2025-02-01 00:00:00.000,Bandung,Jawa Barat,Voice,Package_87,3,601.59,0.1,1624.29,1995.65,Dealer,Ewallet,90,73,143501,-371.3600000000001,Bagus,-141876.71,N
TEL-000126,SUB4912,2024-06-28 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_46,11,304.43,0.95,167.44,170.54,Retail,Ewallet,112,-7,149426,-3.0999999999999943,Buruk,-149258.56,N
